OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
Fungi_sp_131	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	Agaricomycetes_sp_4
Fungi_sp_132	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	Sordariales_sp_6
Sympoventuriaceae_sp_3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Fenestella	Fenestella_parafenestrata_7
Rozellomycota_sp_49	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Oliveoniaceae	Oliveonia	Oliveonia_sp_1
Halosphaeriaceae_sp_2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Kiskunsagia	Kiskunsagia_ubrizsyi_8
Chytridiomycota_sp_2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae_gen_Incertae_sedis	Herpotrichiellaceae_sp_5
Pezizomycotina_sp_7	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_parvulum_1
Rhizophlyctidaceae_sp_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Calonectria	Calonectria_angustata_1
Fungi_sp_133	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthiopsis	Magnaporthiopsis_maydis_1
zz_no_fungi_4	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	Agaricomycetes_sp_5
Rozellomycota_sp_50	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_50
GS11_sp_40	Fungi	Ascomycota	Eurotiomycetes	Ascosphaerales	Ascosphaeraceae	Ascosphaera	Ascosphaera_larvis_1
Ascomycota_sp_32	Fungi	Ascomycota	Sordariomycetes	Sordariales	Neoschizotheciaceae	Rinaldiella	Rinaldiella_pentagonospora_1
Serendipitaceae_sp_5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria_aetnensis_5
Fungi_sp_134	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Pseudoarthrographis	Pseudoarthrographis_sp_4
GS04_sp_1	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_13
Rhizophydiales_sp_5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella	Idriella_sp_2
Sympoventuriaceae_sp_4	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	Agaricomycetes_sp_6
GS11_sp_41	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus_sp_5
Sebacinales_sp_3	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	Udeniomyces_puniceus_1
Rhizophydiales_sp_6	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_14
Pyronemataceae_sp_6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Aquilomyces	Aquilomyces_patris_1
Agaricomycetes_sp_16	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella_prillingeri_1
Kiflimonium_curvulum_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_terricola_3
GS11_sp_42	Fungi	Ascomycota	Sordariomycetes	Xylariales	Coniocessiaceae	Coniocessia	Coniocessia_sp_1
Agaricomycetes_sp_17	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	Exserohilum_khartoumense_3
Fungi_sp_135	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	Kernia_geniculotricha_1
Fungi_sp_136	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_51
Ciliophora_sp_3	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	Microascus_cinereus_1
Ostropomyces_pruinosellus_2	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_52
